PLAYER,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
Aaron Rodgers*,Chi,W 35-14,22.2/34.3,266.7,2.3,0.3,3.9,20.9,0.1,0,0,0,21.6
Russell Wilson,Ind,W 46-18,19.6/31,251.9,1.8,0.5,5.1,26.8,0.2,0,0,0,19.6
Matt Ryan,Buf,L 17-23,22.1/33.3,278.5,2.1,0.6,2.2,7.9,0.1,0,0,0,19.4
Drew Brees,@Mia,W 20-0,26.5/39.9,296.5,2.1,0.8,1.3,2.3,0.1,0,0,0,19.3
Tom Brady,Car,L 30-33,24.8/37.8,297.3,2,0.6,2.3,2.1,0.1,0,0,0,19.2
Tyrod Taylor,@Atl,W 23-17,20.9/32.9,237.8,1.2,0.5,6.1,36.3,0.2,0,0,0,18.3
Dak Prescott,LAR,L 30-35,19.7/30.5,229.4,1.6,0.4,3.4,15.8,0.2,0,0,0,17.5
Carson Palmer*,SF,W 18-15,21.9/35.7,279,1.7,0.9,1.2,2.5,0.1,0,0,0,16.4
Trevor Siemian*,Oak,W 16-10,21.7/35.5,260.6,1.7,0.9,2.3,8.1,0.1,0,0,0,16.4
Marcus Mariota,@Hou,L 14-57,19.2/31.1,227.4,1.4,0.5,4.6,22.5,0.1,0,0,0,16.2
Philip Rivers,Phi,L 24-26,23.4/37.1,283,1.7,1.1,1.1,2.7,0,0,0,0,16.2
Alex Smith,Wsh,W 29-20,21.1/32.1,239.8,1.3,0.4,3.2,16.1,0.1,0,0,0,16.1
Kirk Cousins,@KC,L 20-29,25.6/39.2,292.3,1.4,0.8,1.9,4.3,0.1,0,0,0,16
Matthew Stafford,@Min,W 14-7,24.9/38.9,266.5,1.4,0.7,2.2,8.2,0.1,0,0,0,15.9
Cam Newton,@NE,W 33-30,21.7/37,268.7,1.2,1.1,3.9,17.9,0.1,0,0,0,15.7
Jay Cutler,NO,L 0-20,20.2/31.7,240.4,1.7,0.8,2.3,9.4,0.1,0,0,0,15.6
Andy Dalton,@Cle,W 31-7,21.7/34.1,252.9,1.3,0.9,3.3,12.4,0.2,0,0,0,15.4
Ben Roethlisberger,@Bal,W 26-9,24.7/37.9,277.2,1.4,0.9,1.7,3.5,0,0,0,0,15.4
Carson Wentz*,@LAC,W 26-24,24.2/39,280.2,1.2,0.9,3,11.2,0.1,0,0,0,15.3
Case Keenum,Det,L 7-14,22.7/35.4,253.8,1.5,0.9,1.9,5.8,0.1,0,0,0,15.1
Eli Manning,@TB,L 23-25,24.4/38.9,277.8,1.5,1,1.1,1.4,0,0,0,0,15.1
Jameis Winston,NYG,W 25-23,21.2/34.1,243.5,1.4,1.1,3.1,12.7,0.1,0,0,0,14.9
Deshaun Watson*,Ten,W 57-14,19.1/32.4,222.6,1.3,1,4.7,22.7,0.1,0,0,0,14.7
Derek Carr,@Den,L 10-16,22.7/36.5,228.8,1.5,0.6,2.3,6.1,0,0,0,0,14.6
Blake Bortles,@NYJ,L 20-23,18.5/30.9,212.8,1.2,0.8,3.6,20.8,0.1,0,0,0,14.4
Joe Flacco,Pit,L 9-26,23.1/36.4,247.1,1.4,1,1.6,2.7,0.1,0,0,0,14.1
Jared Goff,@Dal,W 35-30,20.8/34.4,245.6,1.4,0.9,1.6,4.7,0.1,0,0,0,13.8
DeShone Kizer,Cin,L 7-31,18.9/32.1,210.6,1,1.2,5.3,25.3,0.2,0,0,0,13.6
Mike Glennon,@GB,L 14-35,22.9/36.5,245.3,1.3,0.9,2,5.6,0,0,0,0,13.1
Brian Hoyer,Car,L 30-33,22.6/36.4,254.9,1.1,0.8,1.6,2,0.1,0,0,0,13.1
Josh McCown*,Jax,W 23-20,20.1/33.1,224.3,0.9,0.7,2.6,11.7,0.1,0,0,0,12
Jacoby Brissett,@Sea,L 18-46,22.2/37.4,234.5,0.9,1.3,4,14.5,0.1,0,0,0,11.7
Brett Hundley,Chi,W 35-14,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Drew Stanton,SF,W 18-15,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Matt Schaub,Buf,L 17-23,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
Chase Daniel,@Mia,W 20-0,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Austin Davis,Ind,W 46-18,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
Brock Osweiler,Oak,W 16-10,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Kellen Clemens,Phi,L 24-26,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0.1
Jimmy Garoppolo,@Ari,L 15-18,0.1/0.2,1.2,0,0,0,0,0,0,0,0,0.1
